tax_code,year,section,level,group,name,slug,unit,code_ul,code_fl,col_ul,col_fl,sort_order
tn,2008,2,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s2--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1040,2040,,,4
tn,2008,2,1,,водных транспортных средств,s2--водных-транспортных-средств,единиц,1050,2050,,,5
tn,2008,2,1,,воздушных транспортных средств,s2--воздушных-транспортных-средств,единиц,1060,2060,,,6
tn,2008,3,0,,"Количество транспортных средств, по которым начислен налог к уплате в бюджет - всего, единиц, в том числе:",s3--количество-транспортных-средств-по-которым-начислен-налог-к-уплате-в-бюджет-всего-единиц-в-том-числе,единиц,1070,2070,,,7
tn,2008,3,1,,наземных транспортных средств,s3--наземных-транспортных-средств,единиц,1080,2080,,,8
tn,2008,3,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s3--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1090,2090,,,9
tn,2008,3,1,,водных транспортных средств,s3--водных-транспортных-средств,единиц,1100,2100,,,10
tn,2008,3,1,,воздушных транспортных средств,s3--воздушных-транспортных-средств,единиц,1110,2110,,,11
tn,2008,4,0,,"Сумма налога, подлежащая уплате в бюджет - всего, тыс. руб.., в том числе:",s4--сумма-налога-подлежащая-уплате-в-бюджет-всего-тыс-руб-в-том-числе,тыс. руб.,1120,2120,,,12
tn,2008,4,1,,по наземным транспортным средствам,s4--по-наземным-транспортным-средствам,тыс. руб.,1130,2130,,,13
tn,2008,4,1,,по водным транспортным средствам,s4--по-водным-транспортным-средствам,тыс. руб.,1140,2140,,,14
tn,2008,4,1,,по воздушным транспортным средствам,s4--по-воздушным-транспортным-средствам,тыс. руб.,1150,2150,,,15
tn,2008,5,0,,"Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам налоговых льгот, в том числе:",s5--сумма-налога-не-поступившая-в-бюджет-в-связи-с-предоставлением-налогоплательщикам-налоговых-льгот-в-том-числе,тыс. руб.,1200,2200,,,16
tn,2009,1,0,,"Количество налогоплательщиков, которым(и) начислен налог к уплате в бюджет, единиц",s1--количество-налогоплательщиков-которым-и-начислен-налог-к-уплате-в-бюджет-единиц,единиц,1010,2010,,,1
tn,2009,2,0,,"Количество транспортных средств в базе данных налогового органа - всего, единиц, в том числе:",s2--количество-транспортных-средств-в-базе-данных-налогового-органа-всего-единиц-в-том-числе,единиц,1020,2020,,,2
tn,2009,2,1,,наземных транспортных средств,s2--наземных-транспортных-средств,единиц,1030,2030,,,3
tn,2009,2,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s2--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1040,2040,,,4
tn,2009,2,1,,водных транспортных средств,s2--водных-транспортных-средств,единиц,1050,2050,,,5
tn,2009,2,1,,воздушных транспортных средств,s2--воздушных-транспортных-средств,единиц,1060,2060,,,6
tn,2009,3,0,,"Количество транспортных средств, по которым начислен налог к уплате в бюджет - всего, единиц, в том числе:",s3--количество-транспортных-средств-по-которым-начислен-налог-к-уплате-в-бюджет-всего-единиц-в-том-числе,единиц,1070,2070,,,7
tn,2009,3,1,,наземных транспортных средств,s3--наземных-транспортных-средств,единиц,1080,2080,,,8
tn,2009,3,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s3--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1090,2090,,,9
tn,2009,3,1,,водных транспортных средств,s3--водных-транспортных-средств,единиц,1100,2100,,,10
tn,2009,3,1,,воздушных транспортных средств,s3--воздушных-транспортных-средств,единиц,1110,2110,,,11
tn,2009,4,0,,"Сумма налога, подлежащая уплате в бюджет - всего, тыс. руб.., в том числе:",s4--сумма-налога-подлежащая-уплате-в-бюджет-всего-тыс-руб-в-том-числе,тыс. руб.,1120,2120,,,12
tn,2009,4,1,,по наземным транспортным средствам,s4--по-наземным-транспортным-средствам,тыс. руб.,1130,2130,,,13
tn,2009,4,1,,по водным транспортным средствам,s4--по-водным-транспортным-средствам,тыс. руб.,1140,2140,,,14
tn,2009,4,1,,по воздушным транспортным средствам,s4--по-воздушным-транспортным-средствам,тыс. руб.,1150,2150,,,15
tn,2009,5,0,,"Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам налоговых льгот, в том числе:",s5--сумма-налога-не-поступившая-в-бюджет-в-связи-с-предоставлением-налогоплательщикам-налоговых-льгот-в-том-числе,тыс. руб.,1160,2160,,,16
tn,2010,1,0,,"Количество налогоплательщиков, которым(и) начислен налог к уплате в бюджет, единиц",s1--количество-налогоплательщиков-которым-и-начислен-налог-к-уплате-в-бюджет-единиц,единиц,1010,2010,,,1
tn,2010,2,0,,"Количество транспортных средств в базе данных налогового органа - всего, единиц, в том числе:",s2--количество-транспортных-средств-в-базе-данных-налогового-органа-всего-единиц-в-том-числе,единиц,1020,2020,,,2
tn,2010,2,1,,наземных транспортных средств,s2--наземных-транспортных-средств,единиц,1030,2030,,,3
tn,2010,2,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s2--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1040,2040,,,4
tn,2010,2,1,,водных транспортных средств,s2--водных-транспортных-средств,единиц,1050,2050,,,5
tn,2010,2,1,,воздушных транспортных средств,s2--воздушных-транспортных-средств,единиц,1060,2060,,,6
tn,2010,3,0,,"Количество транспортных средств, по которым начислен налог к уплате в бюджет - всего, единиц, в том числе:",s3--количество-транспортных-средств-по-которым-начислен-налог-к-уплате-в-бюджет-всего-единиц-в-том-числе,единиц,1070,2070,,,7
tn,2010,3,1,,наземных транспортных средств,s3--наземных-транспортных-средств,единиц,1080,2080,,,8
tn,2010,3,1,,из них зарегистрированных в подразделениях Госавтоинспекции МВД России,s3--из-них-зарегистрированных-в-подразделениях-госавтоинспекции-мвд-россии,единиц,1090,2090,,,9
tn,2010,3,1,,водных транспортных средств,s3--водных-транспортных-средств,единиц,1100,2100,,,10
tn,2010,3,1,,воздушных транспортных средств,s3--воздушных-транспортных-средств,единиц,1110,2110,,,11
tn,2010,4,0,,"Сумма налога, подлежащая уплате в бюджет - всего, тыс. руб.., в том числе:",s4--сумма-налога-подлежащая-уплате-в-бюджет-всего-тыс-руб-в-том-числе,тыс. руб.,1120,2120,,,12
tn,2010,4,1,,по наземным транспортным средствам,s4--по-наземным-транспортным-средствам,тыс. руб.,1130,2130,,,13
tn,2010,4,1,,по водным транспортным средствам,s4--по-водным-транспортным-средствам,тыс. руб.,1140,2140,,,14
tn,2010,4,1,,по воздушным транспортным средствам,s4--по-воздушным-транспортным-средствам,тыс. руб.,1160,2160,,,15
tn,2010,5,0,,"Сумма налога, не поступившая в бюджет в связи с предоставлением налогоплательщикам налоговых льгот, в том числе:",s5--сумма-налога-не-поступившая-в-бюджет-в-связи-с-предоставлением-налогоплательщикам-налоговых-льгот-в-том-числе,тыс. руб.,1170,2170,,,16
tn,2011,1,0,,"Количество налогоплательщиков, которым(и) начислен налог к уплате в бюджет, единиц",s1--количество-налогоплательщиков-которым-и-начислен-налог-к-уплате-в-бюджет-единиц,единиц,1100,2100,,,1
tn,2011,1,1,,которым исчислен налог и не предоставлены налоговые льготы,s1--которым-исчислен-налог-и-не-предоставлены-налоговые-льготы,единиц,1110,2110,,,2
tn,2011,1,1,,которым предоставлены налоговые льготы,s1--которым-предоставлены-налоговые-льготы,единиц,1120,2120,,,3
tn,2011,2,0,,"Количество транспортных средств в базе данных налогового органа - всего, единиц, в том числе:",s2--количество-транспортных-средств-в-базе-данных-налогового-органа-всего-единиц-в-том-числе,единиц,1200,2200,,,4
tn,2011,2,1,,наземных транспортных средств,s2--наземных-транспортных-средств,единиц,1210,2210,,,5
tn,2011,2,1,,водных транспортных средств,s2--водных-транспортных-средств,единиц,1220,2220,,,6
tn,2011,2,1,,воздушных транспортных средств,s2--воздушных-транспортных-средств,единиц,1230,2230,,,7
tn,2011,3,0,,"Количество транспортных средств, по которым начислен налог к уплате в бюджет - всего, единиц, в том числе:",s3--количество-транспортных-средств-по-которым-начислен-налог-к-уплате-в-бюджет-всего-единиц-в-том-числе,единиц,1300,2300,,,8
tn,2011,3,1,,наземных транспортных средств,s3--наземных-транспортных-средств,единиц,1310,2310,,,9
tn,2011,3,2,,Автомобили легковые с мощностью двигателя:,s3--автомобили-легковые-с-мощностью-двигателя,единиц,1311,2311,,,10
tn,2011,3,3,Автомобили легковые с мощностью двигателя:,"до 100 л.с. (до 73,55 кВт) включительно",s3--автомобили-легковые-с-мощностью-двигателя--до-100-л-с-до-73-55-квт-включительно,единиц,1312,2312,,,11
tn,2011,3,3,Автомобили легковые с мощностью двигателя:,"свыше 100 л.с. до 150 л.с. (свыше 73,55 кВт до 110,33 кВт) включительно",s3--автомобили-легковые-с-мощностью-двигателя--свыше-100-л-с-до-150-л-с-свыше-73-55-квт-до-110-33-квт-включительно,единиц,1313,2313,,,12
tn,2011,3,3,Автомобили легковые с мощностью двигателя:,"свыше 150 л.с. до 200 л.с. (свыше 110,33 кВт до 147,1 кВт) включительно",s3--автомобили-легковые-с-мощностью-двигателя--свыше-150-л-с-до-200-л-с-свыше-110-33-квт-до-147-1-квт-включительно,единиц,1314,2314,,,13
tn,2011,3,3,Автомобили легковые с мощностью двигателя:,"свыше 200 л.с. до 250 л.с. (свыше 147,1 кВт до 183,9 кВт) включительно",s3--автомобили-легковые-с-мощностью-двигателя--свыше-200-л-с-до-250-л-с-свыше-147-1-квт-до-183-9-квт-включительно,единиц,1315,2315,,,14
tn,2011,3,3,Автомобили легковые с мощностью двигателя:,"свыше 250 л.с. (свыше 183,9 кВт)",s3--автомобили-легковые-с-мощностью-двигателя--свыше-250-л-с-свыше-183-9-квт,единиц,1316,2316,,,15
tn,2011,3,2,,Мотоциклы и мотороллеры с мощностью двигателя:,s3--мотоциклы-и-мотороллеры-с-мощностью-двигателя,единиц,1317,2317,,,16
tn,2011,3,3,Мотоциклы и мотороллеры с мощностью двигателя:,"до 20 л.с. (до 14,7 кВт) включительно",s3--до-20-л-с-до-14-7-квт-включительно,единиц,1318,2318,,,17
tn,2011,3,3,Мотоциклы и мотороллеры с мощностью двигателя:,"свыше 20 л.с. до 35 л.с. (свыше 14,7 кВт до 25,74 кВт) включительно",s3--свыше-20-л-с-до-35-л-с-свыше-14-7-квт-до-25-74-квт-включительно,единиц,1319,2319,,,18
